Date,AMGN,REGN,JNJ,IBB
1/2/2015,159.89,410.16,104.52,102.11
1/5/2015,157.99,412.47,103.79,101.95
1/6/2015,152.9,396.89,103.28,100.27
1/7/2015,158.24,407.72,105.56,104
1/8/2015,157.67,403.25,106.39,104.81
1/9/2015,155.73,411.04,104.94,104.44
1/12/2015,156.22,413.33,104.58,105.02
1/13/2015,155.14,406.49,104.76,104.99
1/14/2015,155.16,404.31,104,105.19
1/15/2015,151.92,397.12,102.49,102.57
1/16/2015,158.43,408.69,104.04,105.94
1/20/2015,157.6,421.11,101.29,107.74
1/21/2015,157.38,418.11,101.9,106.16
1/22/2015,159.57,420.81,103.76,106.99
1/23/2015,159.81,420.21,102.2,107.47
1/26/2015,159.73,423.77,102.26,109.33
1/27/2015,158.89,415.74,102.09,108.66
1/28/2015,154.64,408,101.48,106.33
1/29/2015,156.37,414.64,102.38,107.62
1/30/2015,152.26,416.66,100.14,107.22
2/2/2015,152.5,413.09,100.83,106.53
2/3/2015,152.23,409.2,102.46,105.93
2/4/2015,151.45,401.36,101.36,104.18
2/5/2015,153.36,413.87,102.46,106.64
2/6/2015,151.4,406.86,101.1,105.2
2/9/2015,150.01,399.72,99.78,104.47
2/10/2015,152.57,400.71,100.35,106.09
2/11/2015,153.11,398.99,100.38,105.75
2/12/2015,153.18,401.74,98.44,106.81
2/13/2015,153.48,402.4,99.62,107.82
2/17/2015,154.24,404.18,100.44,108.94
2/18/2015,155.78,405.8,99.96,109.81
2/19/2015,156.05,426.6,100.7,110.66
2/20/2015,157.66,423.78,100.26,112.14
2/23/2015,158.42,425.11,100.18,112.67
2/24/2015,157.37,420.64,100.7,111.72
2/25/2015,158.08,423.04,101.21,113.15
2/26/2015,158.97,419.87,102.8,113.6
2/27/2015,157.72,413.84,102.51,112.49
3/2/2015,159.63,418.44,103.22,113.25
3/3/2015,158.56,412.51,102.34,112.64
3/4/2015,159.19,413.04,101.65,113.36
3/5/2015,159.6,428.95,102.52,115.89
3/6/2015,154.88,422.13,100.11,114.12
3/9/2015,155.01,426.87,100.66,114.29
3/10/2015,153.58,422.84,99.53,113.81
3/11/2015,152.7,424.55,98.32,114.18
3/12/2015,154.25,425.16,99.83,114.94
3/13/2015,154.26,429.38,99.21,115.11
3/16/2015,163.03,451.77,101.06,117.99
3/17/2015,163.07,467.8,99.89,118.75
3/18/2015,166.54,472.11,101.46,119.38
3/19/2015,169.11,486.02,101.69,121.75
3/20/2015,170.1,488.87,102.4,122.17
3/23/2015,166.54,478.32,102.98,119.43
3/24/2015,166.01,473.74,101.96,118.65
3/25/2015,160.62,453.99,100.34,113.77
3/26/2015,160.55,448.38,100.14,113.6
3/27/2015,162.59,454.5,100.34,115.82
3/30/2015,164.31,459.78,101.55,117.11
3/31/2015,159.85,451.48,100.6,114.48
4/1/2015,157.1,441.18,99.15,113.36
4/2/2015,155.88,438.27,99.64,113.23
4/6/2015,155.28,440.23,99.16,112.95
4/7/2015,157.28,441.65,100.1,113.97
4/8/2015,160.33,453.19,100.16,117.34
4/9/2015,161.49,455.04,101.33,117.69
4/10/2015,163.38,461.39,102.06,119.15
4/13/2015,162.49,456.98,100.55,119.44
4/14/2015,162.57,455.07,100.52,119.07
4/15/2015,165.47,453.89,100.6,120.31
4/16/2015,166.87,457.42,99.79,120.5
4/17/2015,163.58,447.52,99.58,118.82
4/20/2015,165.97,452.42,100.21,119.32
4/21/2015,168.46,463.22,100.3,121.5
4/22/2015,169.1,472.63,100.43,121.28
4/23/2015,169.17,480.08,100.46,122.56
4/24/2015,167.91,480.09,101.08,121.23
4/27/2015,162.38,473.48,100.58,116.18
4/28/2015,162.49,466.34,100.74,114.83
4/29/2015,160.98,469.7,100.39,114.94
4/30/2015,157.91,457.46,99.2,111.22
5/1/2015,160.36,471.16,100.13,114.67
5/4/2015,162.11,474.17,100.35,115.06
5/5/2015,159.44,465.5,99.5,112.67
5/6/2015,158.95,470.01,99.17,113.57
5/7/2015,157.9,468.62,99.66,114.7
5/8/2015,162.34,481.29,101.47,117.38
5/11/2015,161.05,477.56,101.03,117.43
5/12/2015,158.24,479.4,100.47,117.26
5/13/2015,158.39,477.46,100.55,116.95
5/14/2015,161.98,491.43,101.83,118.53
5/15/2015,162.36,489.01,102.3,118.54
5/18/2015,163.44,496.74,103.42,120.1
5/19/2015,163.56,504.15,103.96,120.16
5/20/2015,163.98,512.77,103.6,121.2
5/21/2015,163.84,516,102.42,121.2
5/22/2015,163.58,513.88,101.35,121.51
5/26/2015,159.01,506.63,100.82,120.1
5/27/2015,160.44,515.37,101.13,122.32
5/28/2015,157.35,512.12,101.15,121.63
5/29/2015,156.26,512.56,100.14,121.68
6/1/2015,157.03,513.81,100.04,121.6
6/2/2015,156.44,508.9,99.98,121.15
6/3/2015,157.13,514.22,100.09,121.61
6/4/2015,158.09,518.62,99.23,120.93
6/5/2015,157.25,539.4,98.59,122.35
6/8/2015,156.47,526.09,97.96,121.67
6/9/2015,154.8,512.32,98.21,120.21
6/10/2015,155.55,501.1,98.88,121.94
6/11/2015,157.96,492.29,99.24,122.69
6/12/2015,156.12,499.06,98.35,121.3
6/15/2015,156.1,501.76,97.49,121.23
6/16/2015,156.23,512.89,98.36,121.46
6/17/2015,155.65,527.97,98.73,122.18
6/18/2015,160.12,522.28,100.36,125.96
6/19/2015,160.72,520.71,99.86,125.83
6/22/2015,162.22,521.05,100.09,127.72
6/23/2015,161.69,516.59,99.78,127.75
6/24/2015,159.89,519.24,99.33,125.86
6/25/2015,158.76,520.63,99.12,125.28
6/26/2015,158.02,504.97,99.64,124.26
6/29/2015,151.6,510.13,97.68,120.19
6/30/2015,153.52,506.51,97.46,122.99
7/1/2015,154.99,511.08,98.47,123.3
7/2/2015,153.26,512.24,98.44,123.45
7/6/2015,154.5,517.61,98.2,124.12
7/7/2015,155.39,509.3,98.92,124.47
7/8/2015,152.31,509.03,97.77,120.93
7/9/2015,151.31,526.01,98.4,122.25
7/10/2015,154.1,536.21,99.53,124.27
7/13/2015,155.76,542.9,100.27,126.38
7/14/2015,159.32,543.38,99.78,129.31
7/15/2015,160.45,551.53,100.42,130.25
7/16/2015,163.04,551.98,101.11,131.89
